Garut,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
34,2380,2380000,500000,547400,3094000,309400,526000,10800000,,,,
35,2100,2100000,500000,483000,2730000,273000,470000,9900000,,,,
36,1820,1820000,500000,418600,2366000,236600,409000,9300000,,,,
37,3220,3220000,500000,740600,4186000,418600,694000,16200000,,,,
38,2800,2800000,500000,644000,3640000,364000,600000,13500000,,,,
39,1540,2926000,442500,354200,2002000,200200,421000,19800000,,,,
40,1260,2205000,3375000,289800,1638000,163800,316000,7660000,,,,
41,980,1715000,337500,225400,1274000,127400,386000,13050000,,,,
42,1470,2793000,3375000,338100,1911000,191100,337000,17550000,,,,
43,1680,3024000,2250000,386400,2184000,218400,290000,23400000,,,,
44,1420,2698000,3375000,326600,1846000,184600,332000,17550000,,,,
45,1200,2100000,2300000,276000,1560000,156000,430000,16200000,,,,
46,2100,3675000,4500000,483000,2730000,273000,730000,14340000,,,,
47,770,1386000,300000,177100,1001000,100100,267000,4120000,,,,
48,1540,2926000,3600000,354200,2002000,200200,498000,19800000,,,,
49,1120,1960000,337500,257600,1456000,145600,414000,14850000,,,,
50,1470,2572500,3825000,338100,1911000,191100,440000,17550000,,,,
51,700,1260000,1125000,161000,910000,91000,330000,9300000,,,,
52,950,1805000,2250000,218500,1235000,123500,380000,12650000,,,,
53,1750,3062500,600000,402500,2275000,227500,627500,23550000,,,,
54,2100,2100000,500000,483000,2730000,273000,470000,27900000,,,,
55,2800,2800000,500000,644000,3640000,364000,605000,36450000,,,,
56,6300,6300000,8400000,1449000,8190000,819000,1310000,84150000,,,,
57,1190,2082500,322500,273700,1547000,154700,428000,7370000,,,,
58,1036,1864800,337500,238280,1346800,134680,397200,7254000,,,,
59,1092,2074800,330000,251160,1419600,141960,463000,7196000,,,,
60,3920,6860000,600000,588000,5096000,509600,582000,49500000,,,,
61,910,1592500,2250000,209300,1183000,118300,326500,5716000,,,,
62,1778,1955800,4650000,408940,2311400,231140,989000,11200000,,,,
63,2072,7873600,660000,476560,2693600,269360,1226000,14740000,,,,
64,980,1764000,2100000,225400,1274000,127400,386000,13050000,,,,
65,630,1197000,220000,144900,819000,81900,347500,3330000,,,,
66,1050,1837500,2400000,241500,1365000,136500,362500,13950000,,,,
67,1344,2352000,3600000,309120,1747200,174720,456000,17050000,,,,
68,770,1386000,255000,177100,1001000,100100,127000,9900000,,,,
69,700,1330000,1700000,70000,910000,91000,190000,9300000,,,,
70,1078,1886500,435000,247940,1401400,140140,369500,13050000,,,,
71,1106,1935500,360000,254380,1437800,143780,521800,14850000,,,,
72,1232,2217600,3300000,283360,1601600,160160,559600,16200000,,,,
73,966,1835400,2550000,222180,1255800,125580,383200,13050000,,,,
74,588,1029000,1200000,135240,764400,76440,248800,6950000,,,,
75,924,1617000,1900000,212520,1201200,120120,282400,12650000,,,,
76,1134,2041200,487500,260820,1474200,147420,530200,14850000,,,,
77,1190,2261000,2000000,273700,1547000,154700,368500,16200000,,,,
78,2100,3675000,950000,483000,2730000,273000,410000,27900000,,,,
79,100,100000,87500,23000,130000,13000,250000,1620000,,,,
80,2800,5040000,1600000,644000,3640000,364000,380000,36450000,,,,
81,4200,7980000,1850000,966000,5460000,546000,1040000,54450000,,,,
